sl,token_index,reading,form,lemma,pos,morph,gloss
1,1,Ἡ μὲν γραφὴ τῆς ἑβραϊκῆς Ἐξόδου ἀνέγνωσται,Ἡ,ὁ,art,nom sg f,the
1,2,Ἡ μὲν γραφὴ τῆς ἑβραϊκῆς Ἐξόδου ἀνέγνωσται,μὲν,μέν,ptcl,postpos coord ptcl,on the one hand
1,3,Ἡ μὲν γραφὴ τῆς ἑβραϊκῆς Ἐξόδου ἀνέγνωσται,γραφὴ,γραφή,noun,nom sg f,writing; scripture
1,4,Ἡ μὲν γραφὴ τῆς ἑβραϊκῆς Ἐξόδου ἀνέγνωσται,τῆς,ὁ,art,gen sg f,of the
1,5,Ἡ μὲν γραφὴ τῆς ἑβραϊκῆς Ἐξόδου ἀνέγνωσται,ἑβραϊκῆς,ἑβραϊκός,adj,gen sg f,Hebrew
1,6,Ἡ μὲν γραφὴ τῆς ἑβραϊκῆς Ἐξόδου ἀνέγνωσται,Ἐξόδου,Ἔξοδος,propn,gen sg f,Exodus
1,7,Ἡ μὲν γραφὴ τῆς ἑβραϊκῆς Ἐξόδου ἀνέγνωσται,ἀνέγνωσται,ἀναγινώσκω,verb,pf mp ind 3sg,has been read
2,1,"καὶ τὰ ῥήματα τοῦ μυστηρίου διασεσάφηται,",καὶ,καί,conj,coord conj,and
2,2,"καὶ τὰ ῥήματα τοῦ μυστηρίου διασεσάφηται,",τὰ,ὁ,art,nom pl n,the
2,3,"καὶ τὰ ῥήματα τοῦ μυστηρίου διασεσάφηται,",ῥήματα,ῥῆμα,noun,nom pl n,words; utterances
2,4,"καὶ τὰ ῥήματα τοῦ μυστηρίου διασεσάφηται,",τοῦ,ὁ,art,gen sg n,of the
2,5,"καὶ τὰ ῥήματα τοῦ μυστηρίου διασεσάφηται,",μυστηρίου,μυστήριον,noun,gen sg n,mystery
2,6,"καὶ τὰ ῥήματα τοῦ μυστηρίου διασεσάφηται,",διασεσάφηται,διασαφέω,verb,pf mp ind 3sg,has been made clear
3,1,πῶς τὸ πρόβατον θύεται,πῶς,πῶς,adv,interrog/explan adv,how
3,2,πῶς τὸ πρόβατον θύεται,τὸ,ὁ,art,nom sg n,the
3,3,πῶς τὸ πρόβατον θύεται,πρόβατον,πρόβατον,noun,nom sg n,sheep; sacrificial lamb
3,4,πῶς τὸ πρόβατον θύεται,θύεται,θύω,verb,pres mp ind 3sg,is sacrificed
4,1,καὶ πῶς ὁ λαὸς σώζεται,καὶ,καί,conj,coord conj,and
4,2,καὶ πῶς ὁ λαὸς σώζεται,πῶς,πῶς,adv,interrog/explan adv,how
4,3,καὶ πῶς ὁ λαὸς σώζεται,ὁ,ὁ,art,nom sg m,the
4,4,καὶ πῶς ὁ λαὸς σώζεται,λαὸς,λαός,noun,nom sg m,people
4,5,καὶ πῶς ὁ λαὸς σώζεται,σώζεται,σῴζω,verb,pres mp ind 3sg,is saved
5,1,καὶ πῶς ὁ Φαραὼ διὰ τοῦ μυστηρίου μαστίζεται.,καὶ,καί,conj,coord conj,and
5,2,καὶ πῶς ὁ Φαραὼ διὰ τοῦ μυστηρίου μαστίζεται.,πῶς,πῶς,adv,interrog/explan adv,how
5,3,καὶ πῶς ὁ Φαραὼ διὰ τοῦ μυστηρίου μαστίζεται.,ὁ,ὁ,art,nom sg m,the
5,4,καὶ πῶς ὁ Φαραὼ διὰ τοῦ μυστηρίου μαστίζεται.,Φαραὼ,Φαραώ,propn,nom sg m indecl,Pharaoh
5,5,καὶ πῶς ὁ Φαραὼ διὰ τοῦ μυστηρίου μαστίζεται.,διὰ,διά,prep,+gen,through
5,6,καὶ πῶς ὁ Φαραὼ διὰ τοῦ μυστηρίου μαστίζεται.,τοῦ,ὁ,art,gen sg n,the
5,7,καὶ πῶς ὁ Φαραὼ διὰ τοῦ μυστηρίου μαστίζεται.,μυστηρίου,μυστήριον,noun,gen sg n,mystery
5,8,καὶ πῶς ὁ Φαραὼ διὰ τοῦ μυστηρίου μαστίζεται.,μαστίζεται,μαστίζω,verb,pres mp ind 3sg,is scourged; is smitten
6,1,"τοίνυν ξύνετε, ὦ ἀγαπητοί,",τοίνυν,τοίνυν,ptcl,infer ptcl,therefore; so then
6,2,"τοίνυν ξύνετε, ὦ ἀγαπητοί,",ξύνετε,ξυνίημι,verb,pres act imp 2pl,understand
6,3,"τοίνυν ξύνετε, ὦ ἀγαπητοί,",ὦ,ὦ,ptcl,voc ptcl,O
6,4,"τοίνυν ξύνετε, ὦ ἀγαπητοί,",ἀγαπητοί,ἀγαπητός,adj,voc pl m,beloved
7,1,"ὅπως ἐστὶν καινὸν καὶ παλαιόν,",ὅπως,ὅπως,conj,content/explan conj,how
7,2,"ὅπως ἐστὶν καινὸν καὶ παλαιόν,",ἐστὶν,εἰμί,verb,pres act ind 3sg,is
7,3,"ὅπως ἐστὶν καινὸν καὶ παλαιόν,",καινὸν,καινός,adj,pred nom sg n,new
7,4,"ὅπως ἐστὶν καινὸν καὶ παλαιόν,",καὶ,καί,conj,coord conj,and
7,5,"ὅπως ἐστὶν καινὸν καὶ παλαιόν,",παλαιόν,παλαιός,adj,pred nom sg n,old
8,1,"ἀΐδιον καὶ πρόσκαιρον,",ἀΐδιον,ἀΐδιος,adj,pred nom sg n,everlasting
8,2,"ἀΐδιον καὶ πρόσκαιρον,",καὶ,καί,conj,coord conj,and
8,3,"ἀΐδιον καὶ πρόσκαιρον,",πρόσκαιρον,πρόσκαιρος,adj,pred nom sg n,temporary
9,1,"φθαρτὸν καὶ ἄφθαρτον,",φθαρτὸν,φθαρτός,adj,pred nom sg n,corruptible
9,2,"φθαρτὸν καὶ ἄφθαρτον,",καὶ,καί,conj,coord conj,and
9,3,"φθαρτὸν καὶ ἄφθαρτον,",ἄφθαρτον,ἄφθαρτος,adj,pred nom sg n,incorruptible
10,1,θνητὸν καὶ ἀθάνατον τὸ τοῦ πάσχα μυστήριον·,θνητὸν,θνητός,adj,pred nom sg n,mortal
10,2,θνητὸν καὶ ἀθάνατον τὸ τοῦ πάσχα μυστήριον·,καὶ,καί,conj,coord conj,and
10,3,θνητὸν καὶ ἀθάνατον τὸ τοῦ πάσχα μυστήριον·,ἀθάνατον,ἀθάνατος,adj,pred nom sg n,immortal
10,4,θνητὸν καὶ ἀθάνατον τὸ τοῦ πάσχα μυστήριον·,τὸ,ὁ,art,nom sg n,the
10,5,θνητὸν καὶ ἀθάνατον τὸ τοῦ πάσχα μυστήριον·,τοῦ,ὁ,art,gen sg n,of the
10,6,θνητὸν καὶ ἀθάνατον τὸ τοῦ πάσχα μυστήριον·,πάσχα,πάσχα,noun,indecl n; with gen art,Passover
10,7,θνητὸν καὶ ἀθάνατον τὸ τοῦ πάσχα μυστήριον·,μυστήριον,μυστήριον,noun,nom sg n,mystery
11,1,"παλαιὸν μὲν κατὰ τὸν νόμον,",παλαιὸν,παλαιός,adj,pred nom sg n,old
11,2,"παλαιὸν μὲν κατὰ τὸν νόμον,",μὲν,μέν,ptcl,postpos coord ptcl,on the one hand
11,3,"παλαιὸν μὲν κατὰ τὸν νόμον,",κατὰ,κατά,prep,+acc,according to
11,4,"παλαιὸν μὲν κατὰ τὸν νόμον,",τὸν,ὁ,art,acc sg m,the
11,5,"παλαιὸν μὲν κατὰ τὸν νόμον,",νόμον,νόμος,noun,acc sg m,law
12,1,"καινὸν δὲ [κατὰ τὸν] λόγον,",καινὸν,καινός,adj,pred nom sg n,new
12,2,"καινὸν δὲ [κατὰ τὸν] λόγον,",δὲ,δέ,ptcl,postpos advrs ptcl,but
12,3,"καινὸν δὲ [κατὰ τὸν] λόγον,",κατὰ,κατά,prep,+acc,according to
12,4,"καινὸν δὲ [κατὰ τὸν] λόγον,",τὸν,ὁ,art,acc sg m,the
12,5,"καινὸν δὲ [κατὰ τὸν] λόγον,",λόγον,λόγος,noun,acc sg m,word; discourse
13,1,"πρόσκαιρον κατὰ τὸν [τύπον],",πρόσκαιρον,πρόσκαιρος,adj,pred nom sg n,temporary
13,2,"πρόσκαιρον κατὰ τὸν [τύπον],",κατὰ,κατά,prep,+acc,according to
13,3,"πρόσκαιρον κατὰ τὸν [τύπον],",τὸν,ὁ,art,acc sg m,the
13,4,"πρόσκαιρον κατὰ τὸν [τύπον],",τύπον,τύπος,noun,acc sg m,type; figure
14,1,"ἀΐδιον διὰ τὴν χάριν,",ἀΐδιον,ἀΐδιος,adj,pred nom sg n,everlasting
14,2,"ἀΐδιον διὰ τὴν χάριν,",διὰ,διά,prep,+acc,because of
14,3,"ἀΐδιον διὰ τὴν χάριν,",τὴν,ὁ,art,acc sg f,the
14,4,"ἀΐδιον διὰ τὴν χάριν,",χάριν,χάρις,noun,acc sg f,grace
15,1,"φθαρτ[ὸν διὰ τὴν] τοῦ προβάτου σφαγήν,",φθαρτὸν,φθαρτός,adj,pred nom sg n,corruptible
15,2,"φθαρτ[ὸν διὰ τὴν] τοῦ προβάτου σφαγήν,",διὰ,διά,prep,+acc,because of
15,3,"φθαρτ[ὸν διὰ τὴν] τοῦ προβάτου σφαγήν,",τὴν,ὁ,art,acc sg f,the
15,4,"φθαρτ[ὸν διὰ τὴν] τοῦ προβάτου σφαγήν,",τοῦ,ὁ,art,gen sg n,of the
15,5,"φθαρτ[ὸν διὰ τὴν] τοῦ προβάτου σφαγήν,",προβάτου,πρόβατον,noun,gen sg n,sheep; sacrificial lamb
15,6,"φθαρτ[ὸν διὰ τὴν] τοῦ προβάτου σφαγήν,",σφαγήν,σφαγή,noun,acc sg f,slaughter
16,1,"ἄφθαρτον [διὰ τὴν] τοῦ κυρίου ζωήν,",ἄφθαρτον,ἄφθαρτος,adj,pred nom sg n,incorruptible
16,2,"ἄφθαρτον [διὰ τὴν] τοῦ κυρίου ζωήν,",διὰ,διά,prep,+acc,because of
16,3,"ἄφθαρτον [διὰ τὴν] τοῦ κυρίου ζωήν,",τὴν,ὁ,art,acc sg f,the
16,4,"ἄφθαρτον [διὰ τὴν] τοῦ κυρίου ζωήν,",τοῦ,ὁ,art,gen sg m,of the
16,5,"ἄφθαρτον [διὰ τὴν] τοῦ κυρίου ζωήν,",κυρίου,κύριος,noun,gen sg m,Lord
16,6,"ἄφθαρτον [διὰ τὴν] τοῦ κυρίου ζωήν,",ζωήν,ζωή,noun,acc sg f,life
